Country,Continent,Risk Score,Advisory Message,Last Updated,Source,Recommendation,Details
Sao Tome and Principe,AF,2.5,Sao Tome and Principe has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Sao Tome and Principe.,2024-08-13 08:21:03,https://www.travel-advisory.info/sao-tome-and-principe,Travel with Caution,Sao Tome and Principe has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Sao Tome and Principe.
El Salvador,,3.3,El Salvador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling El Salvador.,2024-08-13 08:21:03,https://www.travel-advisory.info/el-salvador,Travel with Caution,El Salvador has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling El Salvador.
Syria,AS,5.0,Syria has a current risk level of 5 (out of 5). We advise: It is not safe to travel Syria.,2024-08-13 08:21:03,https://www.travel-advisory.info/syria,Not Recommended for Travel,Syria has a current risk level of 5 (out of 5). We advise: It is not safe to travel Syria.
Swaziland,AF,2.7,Swaziland has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Swaziland.,2024-08-13 08:21:03,https://www.travel-advisory.info/swaziland,Travel with Caution,Swaziland has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Swaziland.
Turks and Caicos Islands,,3.0,Turks and Caicos Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Turks and Caicos Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/turks-and-caicos-islands,Travel with Caution,Turks and Caicos Islands has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Turks and Caicos Islands.
Chad,AF,3.7,Chad has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Chad.,2024-08-13 08:21:03,https://www.travel-advisory.info/chad,Travel with Caution,Chad has a current risk level of 3.7 (out of 5). We advise: Please reconsider your need to travel to Chad.
Togo,AF,2.5,Togo has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Togo.,2024-08-13 08:21:03,https://www.travel-advisory.info/togo,Travel with Caution,Togo has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Togo.
Thailand,AS,2.7,Thailand has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Thailand.,2024-08-13 08:21:03,https://www.travel-advisory.info/thailand,Travel with Caution,Thailand has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Thailand.
Tajikistan,AS,3.0,Tajikistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tajikistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/tajikistan,Travel with Caution,Tajikistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tajikistan.
East Timor,OC,3.2,East Timor has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling East Timor.,2024-08-13 08:21:03,https://www.travel-advisory.info/east-timor,Travel with Caution,East Timor has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling East Timor.
Turkmenistan,AS,2.6,Turkmenistan has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Turkmenistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/turkmenistan,Travel with Caution,Turkmenistan has a current risk level of 2.6 (out of 5). We advise: Use some caution when travelling Turkmenistan.
Tunisia,AF,3.0,Tunisia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tunisia.,2024-08-13 08:21:03,https://www.travel-advisory.info/tunisia,Travel with Caution,Tunisia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tunisia.
Tonga,OC,2.5,Tonga has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Tonga.,2024-08-13 08:21:03,https://www.travel-advisory.info/tonga,Travel with Caution,Tonga has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Tonga.
Turkey,AS,3.5,Turkey has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Turkey.,2024-08-13 08:21:03,https://www.travel-advisory.info/turkey,Travel with Caution,Turkey has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Turkey.
Trinidad and Tobago,,3.8,Trinidad and Tobago has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Trinidad and Tobago.,2024-08-13 08:21:03,https://www.travel-advisory.info/trinidad-and-tobago,Travel with Caution,Trinidad and Tobago has a current risk level of 3.8 (out of 5). We advise: Please reconsider your need to travel to Trinidad and Tobago.
Tuvalu,OC,1.0,Tuvalu has a current risk level of 1 (out of 5). We advise: Travelling Tuvalu is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/tuvalu,Safe to Travel,Tuvalu has a current risk level of 1 (out of 5). We advise: Travelling Tuvalu is (relatively) safe.
Taiwan,AS,2.7,Taiwan has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Taiwan.,2024-08-13 08:21:03,https://www.travel-advisory.info/taiwan,Travel with Caution,Taiwan has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Taiwan.
Tanzania,AF,3.0,Tanzania has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tanzania.,2024-08-13 08:21:03,https://www.travel-advisory.info/tanzania,Travel with Caution,Tanzania has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Tanzania.
Ukraine,EU,4.7,Ukraine has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Ukraine.,2024-08-13 08:21:03,https://www.travel-advisory.info/ukraine,Not Recommended for Travel,Ukraine has a current risk level of 4.7 (out of 5). We advise: It is not safe to travel Ukraine.
Uganda,AF,3.5,Uganda has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Uganda.,2024-08-13 08:21:03,https://www.travel-advisory.info/uganda,Travel with Caution,Uganda has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Uganda.
United States,,2.7,United States has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling United States.,2024-08-13 08:21:03,https://www.travel-advisory.info/united-states,Travel with Caution,United States has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling United States.
Uruguay,SA,3.3,Uruguay has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Uruguay.,2024-08-13 08:21:03,https://www.travel-advisory.info/uruguay,Travel with Caution,Uruguay has a current risk level of 3.3 (out of 5). We advise: Use some caution when travelling Uruguay.
Uzbekistan,AS,3.0,Uzbekistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Uzbekistan.,2024-08-13 08:21:03,https://www.travel-advisory.info/uzbekistan,Travel with Caution,Uzbekistan has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Uzbekistan.
Vatican,EU,5.0,Vatican has a current risk level of 5 (out of 5). We advise: It is not safe to travel Vatican.,2024-08-13 08:21:03,https://www.travel-advisory.info/vatican,Not Recommended for Travel,Vatican has a current risk level of 5 (out of 5). We advise: It is not safe to travel Vatican.
Saint Vincent and the Grenadines,,2.5,Saint Vincent and the Grenadines has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Vincent and the Grenadines.,2024-08-13 08:21:03,https://www.travel-advisory.info/saint-vincent-and-the-grenadines,Travel with Caution,Saint Vincent and the Grenadines has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling Saint Vincent and the Grenadines.
Venezuela,SA,4.1,Venezuela has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Venezuela.,2024-08-13 08:21:03,https://www.travel-advisory.info/venezuela,Not Recommended for Travel,Venezuela has a current risk level of 4.1 (out of 5). We advise: Please reconsider your need to travel to Venezuela.
British Virgin Islands,,2.5,British Virgin Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling British Virgin Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/british-virgin-islands,Travel with Caution,British Virgin Islands has a current risk level of 2.5 (out of 5). We advise: Use some caution when travelling British Virgin Islands.
U.S. Virgin Islands,,4.0,U.S. Virgin Islands has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to U.S. Virgin Islands.,2024-08-13 08:21:03,https://www.travel-advisory.info/us-virgin-islands,Not Recommended for Travel,U.S. Virgin Islands has a current risk level of 4 (out of 5). We advise: Please reconsider your need to travel to U.S. Virgin Islands.
Vietnam,AS,2.7,Vietnam has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Vietnam.,2024-08-13 08:21:03,https://www.travel-advisory.info/vietnam,Travel with Caution,Vietnam has a current risk level of 2.7 (out of 5). We advise: Use some caution when travelling Vietnam.
Vanuatu,OC,3.0,Vanuatu has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Vanuatu.,2024-08-13 08:21:03,https://www.travel-advisory.info/vanuatu,Travel with Caution,Vanuatu has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Vanuatu.
Wallis and Futuna,OC,0.0,Wallis and Futuna has a current risk level of 0 (out of 5). We advise: Travelling Wallis and Futuna is (relatively) safe.,2024-08-13 08:21:03,https://www.travel-advisory.info/wallis-and-futuna,Safe to Travel,Wallis and Futuna has a current risk level of 0 (out of 5). We advise: Travelling Wallis and Futuna is (relatively) safe.
Samoa,OC,3.0,Samoa has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Samoa.,2024-08-13 08:21:03,https://www.travel-advisory.info/samoa,Travel with Caution,Samoa has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Samoa.
Kosovo,EU,3.6,Kosovo has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Kosovo.,2024-08-13 08:21:03,https://www.travel-advisory.info/kosovo,Travel with Caution,Kosovo has a current risk level of 3.6 (out of 5). We advise: Please reconsider your need to travel to Kosovo.
Yemen,AS,5.0,Yemen has a current risk level of 5 (out of 5). We advise: It is not safe to travel Yemen.,2024-08-13 08:21:03,https://www.travel-advisory.info/yemen,Not Recommended for Travel,Yemen has a current risk level of 5 (out of 5). We advise: It is not safe to travel Yemen.
Mayotte,AF,3.5,Mayotte has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Mayotte.,2024-08-13 08:21:03,https://www.travel-advisory.info/mayotte,Travel with Caution,Mayotte has a current risk level of 3.5 (out of 5). We advise: Please reconsider your need to travel to Mayotte.
South Africa,AF,3.4,South Africa has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling South Africa.,2024-08-13 08:21:03,https://www.travel-advisory.info/south-africa,Travel with Caution,South Africa has a current risk level of 3.4 (out of 5). We advise: Use some caution when travelling South Africa.
Zambia,AF,3.0,Zambia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Zambia.,2024-08-13 08:21:03,https://www.travel-advisory.info/zambia,Travel with Caution,Zambia has a current risk level of 3 (out of 5). We advise: Use some caution when travelling Zambia.
Zimbabwe,AF,3.2,Zimbabwe has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Zimbabwe.,2024-08-13 08:21:03,https://www.travel-advisory.info/zimbabwe,Travel with Caution,Zimbabwe has a current risk level of 3.2 (out of 5). We advise: Use some caution when travelling Zimbabwe.
